"","location","name","followers_count","statuses_count","created_at"
"1","PA","Mr Moran",879,2044,2013
"2","AL","Harper H21",1956,3300,2013
"3","IL","Jasiah Jenkins",728,1918,2013
"4","NY","Lovely Cass",2121,3831,2013
"5","AK","Carrie",2291,3222,2013
"6","NY","Bossy Bo$$",900,1725,2013
"7","FL","Jayda Stone",916,1978,2013
"8","NY","Jared Mallory",824,1811,2013
"9","NY","Elias Briggs",820,2047,2013
"10","MD","Curtis Burrell",3143,5510,2013
"11","LA","Gwendolyn Lovet",1055,2597,2013
"12","IL","Jerry",2608,9703,2013
"13","GA","Watch Jenny Walkin'",851,2259,2013
"14","CA","Reginald Blackmon",856,1997,2013
"15","CA","Cornell Burchett",766,1786,2013
"16","MD","Zachary Freeman",899,1700,2013
"17","FL","Deandre Gregory",774,1703,2013
"18","NY","Raven Nicholson",807,1645,2013
"19","CA","San Francisco Daily",16812,32546,2014
"20","DC","Tracy Brooks",3696,4655,2014
"21","GA","Kathie",2970,4267,2014
"22","GA","Hailey Romano",1857,2035,2014
"23","GA","Caleb Paar",1374,2983,2014
"24","GA","Danny",1857,2191,2014
"25","GA","Chris",2456,4237,2014
"26","GA","Eric Roberts",2011,3777,2014
"27","IL","Chicago Daily News",19525,39293,2014
"28","NY","Lora Green",4009,5867,2014
"29","TN","Memphis Online",18704,4223,2014
"30","MI","Detroit Daily News",18617,18924,2014
"31","AL","Jacky",1704,2233,2014
"32","MO","KansasCityDailyNews",25356,42560,2014
"33","PA","Pittsburgh Today",18917,32006,2014
"34","PA","Philadelphia Online",15904,9725,2014
"35","CA","Los Angeles Daily",17851,7288,2014
"36","AR","Bekky Garner",2496,3942,2014
"37","MA","Casey Pittman",1907,2537,2014
"38","WA","Washington Online",31729,28939,2014
"39","NY","New York City Today",60897,42438,2014
"40","OH","Cleveland Online",16297,15314,2014
"41","AZ","Phoenix Daily News",14895,19310,2014
"42","TX","San Antonio Top News",19506,13260,2014
"43","PA","Giselle Evans",24344,18466,2014
"44","MD","Baltimore Online",6406,10773,2015
"45","MO","St. Louis Online",8329,17082,2015
"46","VA","Richmond Voice",2804,5234,2015
"47","NJ","Newark Voice",4108,11511,2015
"48","LA","Baton Rouge Voice",3110,20707,2015
"49","TX","Heart Of Texas",5391,848,2015
"50","TX","South Lone Star",22049,2108,2015
"51","GA","Tara Franko",470,641,2013
"52","TX","Kayden Melton",2780,1672,2013
"53","FL","Johnie Vaughan",876,1610,2013
"54","MD","Sincere Pruitt",612,1272,2013
"55","TX","Jonathan Branch",849,1685,2013
"56","PA","Theresa Elmore",2823,1738,2013
"57","IL","Malik Chandler",810,1507,2013
"58","GA","Johnie Cooks",674,1499,2013
"59","AZ","Adam Chapman",835,1282,2013
"60","GA","Brian Carter",880,1244,2013
"61","MO","Willis Bonner",571,1356,2013
"62","IL","Robert Thompson",591,1141,2013
"63","NH","Ken",774,1264,2013
"64","MO","Matthew Caldwell",897,1498,2013
"65","GA","Rita Hart",1619,2224,2014
"66","LA","New Orleans Online",27745,44882,2014
"67","GA","Abigail Silk",858,1592,2014
"68","TX","El Paso Top News",14648,8050,2014
"69","OH","Cincinnati Today",16483,15189,2014
"70","MA","Boston Today",15376,15425,2014
"71","WA","Seattle Post",17222,27013,2014
"72","TX","Houston Top News",16678,20564,2014
"73","CA","San Diego Daily",15702,18733,2014
"74","TX","Dallas Top News",18843,19714,2014
"75","GA","Atlanta Online",17346,12995,2014
"76","FL","Miami Today",18832,8218,2014
"77","CA","Oakland Online",12147,14867,2015
"78","MS","Jackson City Post",2643,6308,2015
"79","NY","Kelvin Sok",0,165,2015
"80","TX","Being Patriotic",11811,1706,2015
"81","NJ","New Jersey Black",2820,451,2015
"82","OR","Meggie O'Neil",955,1594,2013
"83","NY","Edmund Ragland",536,1087,2013
"84","LA","Donna Miller",1363,2094,2014
